CLE
POR
GSW
ORL
IND
BOS
TOR
MIL
MEM
NOP
PHI
PHX
LAL
ATL
CHI
SAC
BRO
DET
OKL
MIA
DAL
UTA
CHA
NYK
SAS
DEN
LAC
HOU
MIN
WAS
