game_id,team_id,player_id,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FgAtt,FgMade,FtAtt,FtMade,OffReb,DefReb,Reb,Ast,Pts,Tov,Stl,Blk,BlkAgainst,FoulPers,PlusMinus,MinSeconds
31252,86,9166,9,3,2,1,11,4,2,2,0,1,1,1,11,2,1,0,1,4,-15,1554
31269,86,9166,1,1,2,1,3,2,0,0,0,3,3,9,5,2,1,0,0,3,13,1955
31281,86,9166,6,3,1,1,7,4,0,0,0,1,1,3,9,0,2,0,0,3,-8,1379
31308,86,9166,4,3,4,1,8,4,0,0,0,4,4,0,9,0,0,0,0,2,13,1658
31316,86,9166,2,0,1,0,3,0,0,0,0,2,2,7,0,4,2,0,0,2,-2,1718
31334,86,9166,2,1,4,0,6,1,0,0,0,0,0,5,2,1,0,0,0,2,-3,1218
31350,86,9166,2,1,4,1,6,2,3,2,0,1,1,13,7,3,0,0,1,2,16,2310
31364,86,9166,5,3,1,1,6,4,3,3,0,2,2,3,12,0,1,0,0,5,27,1686
31378,86,9166,2,1,6,4,8,5,1,1,0,0,0,9,15,0,1,0,0,1,15,1431
31401,86,9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31403,86,9166,3,1,4,1,7,2,2,2,0,1,1,5,7,0,0,1,0,3,11,2009
31414,86,9166,3,0,2,1,5,1,0,0,1,3,4,6,3,3,0,0,0,1,0,1523
31438,86,9166,6,2,3,3,9,5,2,2,0,2,2,1,15,0,2,1,2,3,1,1646
31461,86,9166,2,1,3,2,5,3,0,0,0,2,2,4,8,3,1,0,0,3,6,2522
31467,86,9166,8,3,3,1,11,4,2,2,0,2,2,5,11,3,0,1,0,2,-15,1697
31489,86,9166,7,4,5,3,12,7,0,0,0,3,3,3,17,1,1,0,0,3,4,2203
31513,86,9166,4,3,3,2,7,5,0,0,0,1,1,6,12,2,0,0,0,3,34,1448
31542,86,9166,4,1,2,0,6,1,0,0,0,1,1,4,2,1,1,0,0,4,13,1650
31559,86,9166,4,0,6,3,10,3,2,2,2,3,5,10,11,1,0,0,0,3,1,2325
31579,86,9166,4,3,6,4,10,7,2,2,0,0,0,2,20,4,2,2,0,1,13,1368
31601,86,9166,4,2,4,1,8,3,0,0,0,0,0,7,7,1,1,0,0,2,9,1850
31611,86,9166,8,4,3,0,11,4,3,2,2,3,5,1,10,1,1,0,0,4,-12,1831
31626,86,9166,4,2,4,2,8,4,0,0,0,1,1,6,10,1,0,0,0,2,-16,1535
31640,86,9166,2,0,2,2,4,2,2,2,0,1,1,5,8,4,1,0,0,1,-6,1441
31644,86,9166,4,1,1,0,5,1,2,2,1,6,7,5,4,2,2,0,0,2,16,1755
31671,86,9166,1,0,5,1,6,1,0,0,0,3,3,6,3,1,0,0,0,1,11,1126
31686,86,9166,1,1,3,2,4,3,3,3,0,3,3,4,11,3,0,0,0,2,6,1486
31709,86,9166,3,0,2,1,5,1,0,0,3,1,4,4,3,1,0,0,0,2,1,1695
31718,86,9166,2,2,3,2,5,4,0,0,0,0,0,2,10,0,0,0,0,1,24,1418
31738,86,9166,6,2,2,0,8,2,0,0,0,4,4,2,4,2,2,0,0,2,-3,1489
31743,86,9166,4,0,7,4,11,4,0,0,2,0,2,5,12,0,1,0,1,4,21,1648
31765,86,9166,4,1,4,1,8,2,0,0,1,1,2,3,5,2,0,0,0,3,-2,1172
31771,86,9166,4,1,2,0,6,1,2,1,3,2,5,3,3,2,3,0,1,3,9,1377
31791,86,9166,4,1,4,3,8,4,0,0,0,1,1,6,11,1,0,0,0,0,-13,1669
31803,86,9166,3,3,0,0,3,3,2,2,0,3,3,3,8,0,0,0,0,2,15,1211
31814,86,9166,4,3,4,0,8,3,0,0,1,2,3,6,6,3,1,0,1,2,-8,1649
31829,86,9166,3,1,2,1,5,2,0,0,0,1,1,1,5,0,0,0,0,2,-16,1359
31841,86,9166,4,2,8,4,12,6,2,2,1,3,4,7,18,2,1,0,0,2,16,1508
31859,86,9166,1,0,5,1,6,1,0,0,1,2,3,7,3,1,0,0,0,3,17,1164
31873,86,9166,3,0,1,1,4,1,2,2,2,1,3,4,5,1,1,0,0,3,-9,1256
31880,86,9166,5,3,5,3,10,6,0,0,1,4,5,3,15,2,0,0,0,3,9,1466
31897,86,9166,3,0,1,0,4,0,0,0,0,1,1,4,0,4,2,0,1,2,10,727
31910,86,9166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31976,86,9166,4,1,3,1,7,2,2,2,1,0,1,1,7,2,0,0,0,2,-2,994
32002,86,9166,2,1,1,0,3,1,0,0,0,1,1,7,2,3,0,0,0,2,10,1747
32008,86,9166,6,2,2,1,8,3,0,0,0,1,1,3,7,2,2,0,0,4,2,1761
32020,86,9166,2,0,6,3,8,3,1,1,0,1,1,7,10,2,1,0,0,1,13,1580
32042,86,9166,2,1,3,2,5,3,0,0,0,0,0,3,8,3,0,0,0,2,-1,1268
32057,86,9166,2,1,5,2,7,3,2,1,0,0,0,4,9,1,1,0,0,3,-19,1253
32059,86,9166,1,0,5,2,6,2,0,0,0,0,0,5,6,1,0,0,1,1,1,1294
32088,86,9166,7,3,3,2,10,5,0,0,0,3,3,1,12,2,1,0,1,3,14,1277
32097,86,9166,4,4,2,0,6,4,3,2,0,0,0,4,10,0,2,1,0,3,26,1685
32113,86,9166,3,1,3,0,6,1,0,0,0,2,2,3,2,4,0,0,0,5,-6,1570
32132,86,9166,2,0,4,2,6,2,1,1,0,0,0,1,7,0,0,0,0,2,1,1476
32134,86,9166,4,1,5,3,9,4,0,0,0,1,1,1,11,1,0,0,2,3,-1,995
32159,86,9166,3,0,2,2,5,2,2,1,0,2,2,4,7,1,0,0,0,3,25,1366
32169,86,9166,1,1,5,1,6,2,0,0,0,2,2,5,5,0,0,0,0,1,2,1402
32179,86,9166,4,4,4,0,8,4,1,0,0,1,1,7,8,3,1,0,0,0,5,1364
32199,86,9166,1,0,1,0,2,0,2,1,0,4,4,1,1,2,0,0,1,2,6,1243
32208,86,9166,9,2,3,2,12,4,0,0,0,1,1,3,10,2,0,0,2,2,-24,1477
32221,86,9166,2,0,5,3,7,3,1,1,0,3,3,7,10,0,0,0,0,2,20,1351
