game_id,team_id,player_id,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FgAtt,FgMade,FtAtt,FtMade,OffReb,DefReb,Reb,Ast,Pts,Tov,Stl,Blk,BlkAgainst,FoulPers,PlusMinus,MinSeconds
42087,86,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,74
42099,86,9370,2,1,1,0,3,1,0,0,0,2,2,2,2,2,0,0,0,0,0,812
42127,86,9370,2,1,1,1,3,2,0,0,0,1,1,1,5,2,0,0,0,0,-3,841
42146,86,9370,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,-6,336
42159,86,9370,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,104
42174,86,9370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,43
42290,86,9370,1,0,1,0,2,0,0,0,0,0,0,1,0,1,1,0,1,3,-4,623
42313,86,9370,3,2,2,2,5,4,4,4,0,4,4,2,14,1,1,0,0,2,15,1708
42324,86,9370,1,1,3,1,4,2,0,0,0,1,1,2,5,1,1,0,0,1,0,1190
42341,86,9370,0,0,2,1,2,1,0,0,0,2,2,1,3,2,0,0,0,2,-13,1227
42360,86,9370,0,0,1,0,1,0,0,0,1,0,1,5,0,1,2,0,0,4,-2,1377
42367,86,9370,0,0,0,0,0,0,2,1,1,1,2,3,1,1,1,0,0,3,10,1014
42382,86,9370,1,0,2,1,3,1,0,0,0,0,0,2,3,0,0,0,0,2,-3,1093
42398,86,9370,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,-13,821
42413,86,9370,2,1,3,1,5,2,0,0,1,3,4,1,5,2,1,0,1,4,6,1627
42424,86,9370,2,0,2,0,4,0,0,0,0,0,0,1,0,0,1,0,1,0,0,914
42439,86,9370,3,2,2,1,5,3,2,2,0,3,3,3,9,1,1,0,0,2,8,1321
42449,86,9370,2,1,3,2,5,3,1,0,0,2,2,2,8,1,1,0,0,2,-12,1653
42466,86,9370,2,1,5,4,7,5,0,0,0,1,1,4,14,0,1,0,0,2,7,1897
42484,86,9370,1,1,8,5,9,6,0,0,1,2,3,6,17,2,2,0,0,1,7,1399
42499,86,9370,4,3,2,0,6,3,0,0,0,2,2,4,6,0,0,0,1,2,-6,1354
42508,86,9370,3,2,1,1,4,3,0,0,0,4,4,2,7,1,1,0,0,0,1,1222
42522,86,9370,1,0,2,1,3,1,3,3,0,4,4,4,6,0,1,0,0,3,-6,1416
42536,86,9370,1,1,4,2,5,3,0,0,0,1,1,5,8,0,1,0,0,2,4,1443
42563,86,9370,2,0,2,1,4,1,0,0,2,0,2,1,3,0,0,0,0,3,1,1034
42582,86,9370,1,0,1,0,2,0,2,1,0,0,0,1,1,1,0,0,0,1,13,1363
42603,86,9370,0,0,1,0,1,0,0,0,0,2,2,5,0,3,1,0,0,1,-6,1131
42618,86,9370,0,0,1,0,1,0,0,0,0,1,1,3,0,1,0,0,0,2,3,1249
