game_id,team_id,player_id,Fg2PtAtt,Fg2PtMade,Fg3PtAtt,Fg3PtMade,FgAtt,FgMade,FtAtt,FtMade,OffReb,DefReb,Reb,Ast,Pts,Tov,Stl,Blk,BlkAgainst,FoulPers,PlusMinus,MinSeconds
33941,86,9297,1,1,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,1,334
33958,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33969,86,9297,2,2,0,0,2,2,4,2,1,1,2,1,6,0,1,0,0,2,3,535
33987,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34062,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34100,86,9297,1,0,0,0,1,0,0,0,2,3,5,0,0,2,0,0,0,0,-2,371
34116,86,9297,4,0,1,0,5,0,2,2,2,2,4,0,2,1,1,1,1,2,-10,556
34155,86,9297,2,1,1,0,3,1,0,0,0,1,1,0,2,0,0,1,0,0,-8,241
34167,86,9297,3,2,1,0,4,2,0,0,3,3,6,3,4,2,0,0,0,4,8,1128
34185,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34202,86,9297,1,0,0,0,1,0,2,2,0,3,3,1,2,0,0,0,1,2,2,656
34219,86,9297,0,0,0,0,0,0,4,2,0,1,1,0,2,0,0,0,0,2,-2,456
34226,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34267,86,9297,1,1,0,0,1,1,0,0,0,1,1,0,2,0,1,1,0,0,3,474
34278,86,9297,1,1,0,0,1,1,2,2,1,3,4,0,4,0,1,2,0,4,11,729
34289,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34308,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,176
34319,86,9297,3,1,0,0,3,1,0,0,0,4,4,0,2,0,1,1,0,4,4,1172
34342,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34516,86,9297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34876,86,9217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-2,58
